id_unidad,cat_bidding_zone
AAXRCTI,PT
AAXRGDL,PT
AAXRSUL,PT
ABA1,ES
ABA2,ES
ABASC01,ES
ABO1,ES
ABO2,ES
ABO2G,ES
ABOUC01,ES
ABOX,ES
ACAPC01,ES
ACAVADB,PT
ACAVADO,PT
ACBFRAE,ES
ACBFRAI,ES
ACBPORE,ES
ACBPORI,ES
ACC1EBR,ES
ACC2EBR,ES
ACCGC02,PT
ACCGV02,PT
ACE3,ES
ACE4,ES
ACHEC01,ES
ACNHC01,ES
ACSOC01,ES
ACTIC01,ES
ADEIC01,ES
ADELC01,ES
ADERE01,ES
ADOURO,PT
ADOUROB,PT
ADREC02,PT
ADREV02,PT
ADSNC01,ES
ADURC01,ES
ADXC01,ES
ADXRC03,ES
ADXRE01,ES
ADXRE02,ES
ADXRE03,ES
ADXRE04,ES
ADXRE05,ES
ADXRE06,ES
ADXRE07,ES
ADXRE08,ES
ADXRE09,ES
ADXRE10,ES
ADXRE11,ES
ADXRM01,ES
ADXRM02,ES
ADXRM03,ES
ADXRM04,ES
ADXRM06,ES
ADXRM07,ES
ADXRM08,ES
ADXRM09,ES
ADXRM10,ES
ADXRM11,ES
ADXVD01,ES
ADXVD03,ES
ADXVD04,ES
ADXVD05,ES
ADXVD06,ES
ADXVD07,ES
AEDEC01,ES
AENEC01,ES
AEQC01,ES
AFIBGEC,ES
AFIBGEV,ES
AFIBHEC,ES
AFIBHFC,ES
AGENC01,ES
AGENVD2,ES
AGERC04,ES
AGERC10,ES
AGEVD01,ES
AGLC02,PT
AGMAC01,ES
AGPRCTI,PT
AGPRCTL,PT
AGPRSUL,PT
AGPRTMD,PT
AGRIC01,ES
AGRRE01,ES
AGRRE02,ES
AGUB,ES
AGUG,ES
AGVRC01,ES
AHOEC01,ES
AHORC01,ES
AHTC01,ES
AIGRCTI,PT
AIGRCTL,PT
AIREC01,ES
AIRVD01,ES
AIRVD02,ES
AIZEC01,ES
AJENC01,ES
ALAHC01,ES
ALBCC01,ES
ALDDC01,ES
ALDRC01,ES
ALDRC02,PT
ALDRE01,ES
ALDRE02,ES
ALFAC02,PT
ALFAV02,PT
ALG3,ES
ALGICA1,ES
ALIMA,PT
ALIMAB,PT
ALIOC01,ES
ALPXC01,ES
ALUEC01,ES
ALUZC01,ES
ALZ1,ES
ALZ2,ES
AMAZC01,ES
AMBIETA,ES
AMBIETX,ES
AMEC01,ES
AMEVD1,ES
AMEVD2,ES
AMPEC01,ES
AMRE001,ES
AMRE002,ES
AMRE003,ES
AMRE004,ES
AMRE005,ES
AMRE007,ES
AMRE008,ES
AMRE010,ES
AMRE012,ES
AMRE013,ES
AMRE014,ES
AMRE015,ES
AMRE017,ES
AMRE018,ES
AMRE019,ES
AMRE020,ES
AMRE027,ES
AMRE029,ES
AMRE030,ES
AMRE031,ES
AMRE032,ES
AMRE033,ES
AMRE034,ES
AMRE035,ES
AMRE036,ES
AMRE038,ES
AMRE039,ES
AMRE040,ES
AMRE042,ES
ANIMC01,ES
ANTEC01,ES
ANTUC01,ES
APOANDE,ES
APOANDI,ES
APOFRAE,ES
APOFRAI,ES
APOLC01,ES
APOMARE,ES
APOMARI,ES
APOPORE,ES
APOPORI,ES
APRC01,ES
APRIC01,ES
ARACC01,ES
ARCH,ES
ARCOS1,ES
ARCOS2,ES
ARCOS3,ES
AREPC02,PT
AREPV02,PT
ARGC01,ES
ARGUC01,ES
ARRU1R,ES
ARRU1XR,ES
ARRU2R,ES
ARRU2XR,ES
ASC1,ES
ASC2,ES
ASIAGU,ES
ASIDUE,ES
ASIEBR2,ES
ASIEBRO,ES
ASIEC01,ES
ASIJUCA,ES
ASITAJ,ES
ASIVD01,ES
ASIVD02,ES
ASIVD03,ES
ASIVD06,ES
ASRIHCC,ES
ASRIHCV,ES
ASSEC01,ES
ASTCP3,ES
ASTRC01,ES
ASTVP3,ES
ATEEC01,ES
ATLRE01,ES
ATLRE02,ES
ATLSC01,ES
ATPC01,ES
ATRIC01,ES
AUDAC01,ES
AVILC01,ES
AXPOC02,PT
AXPOR01,ES
AXPOV02,PT
AYLUC01,ES
BAHIAB,ES
BAHIABX,ES
BAKC01,ES
BALEC01,ES
BALFRAE,ES
BALFRAI,ES
BALPORE,ES
BALPORI,ES
BECOC01,ES
BECVD01,ES
BECVD02,ES
BECVD03,ES
BECVD04,ES
BERR1,ES
BERR2,ES
BES3,ES
BES4,ES
BES5,ES
BESC01,ES
BEYOC01,ES
BEYRM01,ES
BEYRM02,ES
BIOC01,ES
BIROC01,ES
BNPRC01,ES
BNPRE01,ES
BNPRM01,ES
BOAEC01,ES
BOLI,ES
BPC01,ES
BPRE03,ES
BPRE04,ES
BPRM01,ES
BREIC01,ES
BRENAB,ES
BRR1R1,ES
BRR1XR1,ES
BSGEC01,ES
BSGRC01,ES
BSGRE01,ES
BSGRM01,ES
BTNR,ES
CALEC01,ES
CALRC01,ES
CALRE01,ES
CAMCC01,ES
CAMG20R,ES
CAMG20X,ES
CAMGI10,ES
CANXC01,ES
CAPAC01,ES
CAPTC01,ES
CARVC01,ES
CATGC01,ES
CATRC01,ES
CCASC01,ES
CCATC01,ES
CD02R01,ES
CD03R01,ES
CD04R01,ES
CD05R01,ES
CEBAC01,ES
CECAC01,ES
CEDC01,ES
CEESC01,ES
CEGC01,ES
CEGPM4,ES
CELC01,ES
CELRC01,ES
CELRC02,ES
CELSR01,ES
CEMEC01,ES
CENRE01,ES
CENTC01,ES
CENTCP3,ES
CENTVP3,ES
CEPEC01,ES
CEPSC02,PT
CESOC01,ES
CESOVD1,ES
CETAC01,ES
CEVD001,ES
CEVD002,ES
CEVD003,ES
CEVD004,ES
CEVD011,ES
CEVD014,ES
CEVD020,ES
CEVD022,ES
CEVD025,ES
CEVD028,ES
CEVD029,ES
CEVD038,ES
CEVD044,ES
CEVD046,ES
CEVD051,ES
CEVD053,ES
CEVD054,ES
CEVD057,ES
CEVD063,ES
CEVD073,ES
CEVD075,ES
CEVD076,ES
CEVD204,ES
CEVD205,ES
CEVD209,ES
CEVD214,ES
CEVD234,ES
CEVD235,ES
CEVD244,ES
CEVD249,ES
CEVD255,ES
CEVD256,ES
CEVD264,ES
CEVD266,ES
CEVD269,ES
CEVD274,ES
CEVD275,ES
CEVD276,ES
CEVD278,ES
CEVD279,ES
CEVD280,ES
CEVD281,ES
CEVD282,ES
CEVD283,ES
CEVD284,ES
CEVD287,ES
CEVD288,ES
CEVD289,ES
CEVD290,ES
CEVD293,ES
CEVD294,ES
CEVD296,ES
CEVD300,ES
CEVD302,ES
CEVD307,ES
CEVD308,ES
CEVD309,ES
CEVD327,ES
CEVD328,ES
CEVD329,ES
CEVD331,ES
CEVD332,ES
CEVD334,ES
CEVD335,ES
CEVD339,ES
CEVD340,ES
CEVD342,ES
CEVD343,ES
CEVD344,ES
CEVD345,ES
CEVD346,ES
CEVD347,ES
CEVD348,ES
CEVD349,ES
CEVD350,ES
CEVD351,ES
CEVD352,ES
CEVD353,ES
CEVD354,ES
CEVD356,ES
CEVD357,ES
CEVD358,ES
CEVD359,ES
CEVD360,ES
CEVD361,ES
CEVD363,ES
CEVD366,ES
CEVD368,ES
CEVD369,ES
CEVD371,ES
CEVD372,ES
CEVD373,ES
CEVD374,ES
CEVD375,ES
CEVD376,ES
CEVD377,ES
CEVD378,ES
CEVD379,ES
CEVD380,ES
CEVD381,ES
CEVD383,ES
CEVD384,ES
CEVD385,ES
CEVD386,ES
CEVD387,ES
CEVD392,ES
CEVD395,ES
CEVD396,ES
CEVD397,ES
CEVD398,ES
CEVD399,ES
CEVD400,ES
CEVD401,ES
CEVD402,ES
CEVD405,ES
CEVD411,ES
CEVD412,ES
CEVD413,ES
CEVD414,ES
CEVD415,ES
CEVD416,ES
CEVD417,ES
CEVD418,ES
CEVD419,ES
CEVD420,ES
CEVD421,ES
CEVD422,ES
CEVD423,ES
CEVD424,ES
CEVD425,ES
CEVD426,ES
CEVD427,ES
CEVD428,ES
CEVD429,ES
CEVD430,ES
CEVD431,ES
CEVD432,ES
CEVD433,ES
CEVD435,ES
CEVD436,ES
CEVD437,ES
CEVD438,ES
CEVD439,ES
CEVD440,ES
CEVD441,ES
CEVD442,ES
CEVD443,ES
CEVD444,ES
CEVD445,ES
CEVD446,ES
CEVD447,ES
CEVD448,ES
CEVD449,ES
CEVD450,ES
CEVD451,ES
CEVD452,ES
